last_name,first_name,date,title,accusation,response,fallout
Weinstein,Harvey,10/5/17,Producer and co-founder of the Weinstein Company,"Raping three women. Sexual assault and harassment of dozens of others Ñ including masturbating, exposing himself and unwelcome touching.","I came of age in the 60Õs and 70Õs, when all the rules about behavior and workplaces were different. That was the culture then. I have since learned itÕs not an excuse, in the office - or out of it. To anyone. I realized some time ago that I needed to be a better person and my interactions with the people I work with have changed. I appreciate the way IÕve behaved with colleagues in the past has caused a lot of pain, and I sincerely apologize for it. Though IÕm trying to do better, I know I have a long way to go. That is my commitment. My journey now will be to learn about myself and conquer my demons. Over the last year I've asked Lisa Bloom to tutor me and she's put together a team of people. I've brought on therapists and I plan to take a leave of absence from my company and to deal with this issue head on. I so respect all women and regret what happened. I hope that my actions will speak louder than words and that one day we will all be able to earn their trust and sit down together with Lisa to learn more. Jay Z wrote in 4:44 ""I'm not the man I thought I was and I better be that man for my children."" The same is true for me. I want a second chance in the community but I know I've got work to do to earn it. I have goals that are now priorities. Trust me, this isn't an overnight process. I've been trying to do this for 10 years and this is a wake-up call. I cannot be more remorseful about the people I hurt and I plan to do right by all of them. I am going to need a place to channel that anger so I've decided that I'm going to give the NRA my full attention. I hope Wayne LaPierre will enjoy his retirement party. I'm going to do it at the same place I had my Bar Mitzvah. I'm making a movie about our President, perhaps we can make it a joint retirement party. One year ago, I began organizing a $5 million foundation to give scholarships to women directors at USC. While this might seem coincidental, it has been in the works for a year. It will be named after my mom and I won't disappoint her. ",Fired
Savino,Chris,10/17/17,"Creator and showrunner of ""The Loud House""","Sexual harassment, including unwanted sexual advances, of as may as 12 women.","I am deeply sorry and ashamed. Although it was never my intention, I now understand that the impact of my actions and communications created an unacceptable environment. At every stage of my career, I have sought to uplift my colleagues and cultivate a culture of respect. In this objective, I have failed. I should have known better, I should have acted better, and this has been a difficult but valuable lesson. I have nothing but the deepest respect for the bravery of the women who have spoken out, trying to create an environment in which they can thrive to their fullest potential.",Fired
Scoble,Robert,10/19/17,Tech blogger and co-founder of the Transformation Group,Sexual assault of at least two women.,"In the past week several news outlets reported that I had committed numerous sexual indiscretions against numerous women. I am sorry that so many women feel wronged by me, but I hope to set at least some of the record straight. I apologize for the delay in the response, the allegations are quite serious, and many are from a number of years ago, and before responding I needed to consult with a lawyer, witnesses, my wife and others.
I have rejected my lawyerÕs advice to not make a statement and in a spirit of healing I would like to address the issue head on with open and honest dialogue.
Any response creates potential liability, and lawyers optimize for reducing exposure so they advise against responding. But, for the past 20 years I have made my living shining light on people, products, and issues. I am unwilling to not be that person just because people have made allegations against me. This advice from attorneys is one reason why as a community we canÕt properly discuss the issues hitting our industry. When companies and individuals canÕt speak out for risk that it opens them to a lawsuit it limits the responsible dialogue we can have.
TechCrunch and Business Insider ÒbrokeÓ the news, but in a move inconceivable to me, they didnÕt do any diligence to verify the accusations made against me. I recognize that these two organizations are basically just Gossip Blogs at this point, and that ÒIf it bleeds it leadsÓ is a way to generate click bait, but I expected more of them.
Even the most rudimentary fact check by news outlets would have caught a few obvious things. If I were guilty of all the things said about me I would still not be in a position to have sexually harassed anyone. I donÕt have employees, I donÕt cut checks for investment. None of the women who came forward were ever in a position where I could make or break their careers. Sexual Harassment requires that I have such power. That is not to say that the allegations arenÕt serious. I take them very seriously, but it is to say that, TechCrunch, Business Insider and others, in their rush to publish ClickBait were so obviously flawed that it is clear they no longer care about the truth or doing actual journalism.
Then there is the actual truth of the allegations. Each of the women who have come forward used grains of truth to sell false narrative. Perhaps because they felt peer pressure to join the #MeToo bandwagon, perhaps because they felt slighted for other reasons. I wonÕt speculate on their motives.
Sarah Seitz and I had an online affair. I am a married man. She knew this, and didnÕt care. During the more than a year that we exchanged very sexual conversation, when things never advanced beyond mere conversation, and when it became apparent that I didnÕt have the power to advance her career any more than the introductions I had already made she felt scorned and attempted to blackmail me by threatening to tell my wife, Maryam, which she did shortly thereafter. I deeply wronged my wife by engaging in this behavior. I hurt my family. And to some extent my online affair did take advantage of Seitz; I hate to be the person who outs Seitz for her own abuse, but that was what we connected over primarily. We talked a great deal about how each of us dealt with abuse and how it impacted our sex lives.
In talking with friends I am not the only person Seitz has felt the need to shame online when she felt jilted. Others have experienced being called out when they didnÕt meet up when Seitz was traveling or when they didnÕt want to convert online flirtations to a real world interaction. There are a great many things in SeitzÕs conversations I would prefer never be public, not because I did wrong by Seitz, but because where I have said I donÕt really care about privacy online, I donÕt feel that exposing my sexual fantasies or desires online as a text based Òsex tapeÓ is something anyone needs to see.
Another of the women who accused me, Sarah Kunst, is an African-American female entrepreneur. Kunst categorized a comment I made as racist at a conference we both attended. She took my asking ÒWhy are you hereÓ to be a question of Òwhy are you deserving of being here.Ó That was not my intention at all. I tried to talk her down from this, but failed. More than an hour later, still mad, and drunk, she mistook another attendee for me and told him off loudly in front of others, then went on to tell off my wife Maryam. Anyone who knows Maryam, knows that the idea that she would verbally harass anyone is ludicrous, but Business Insider reports that.
I appreciate that being an African-American female entrepreneur is hard. I also understand that many in the industry are skeptical or dismissive when they interact with someone who breaks two stereotypes of entrepreneurs [not being white or male]. Perhaps my innocent question should have been phrased as ÒWhat is your goal for this conference,Ó but it wasnÕt. At the conference I apologized for that, and I apologize again, that I could have either had more build up to the question, or phrased it better. But to categorize the action as ÒVerbal AssaultÓ or to extend such allegations to my wife is unfair.
Michelle Greer, who I worked with at Rackspace, was never in a reporting structure beneath me, and while we engaged in flirtations, the limits of the impropriety was that I was flirting with someone when I was married. As part of the terms of my layoff from Rackspace I am required to not say anything disparaging against Rackspace, and I am seeking answers from them about what I can and cannot publicly say about this alleged incident. But I can say I was not ever fired from Rackspace, I was laid off at a time when many other employees were also laid off, and received severance for several months afterwards. Others have come forward and said Michelle Greer was let go from Rackspace for reasons unrelated to any interactions she and I had. We never had any interactions in a private situation and while that doesnÕt mean that it is impossible for inappropriate behavior to occur, it demonstrates that at the time neither of us was ashamed of our behavior. If Rackspace did end GreerÕs employment because of these interactions it was not at my request.
Quinn Norton, by her own account, physically accosted me. She didnÕt call for conference security, she didnÕt know the name of the woman I was making out with to know if we were engaged in a consensual activity. In her account of the night, she took it upon herself to decide in advance that she was going to warn me she was dangerous, and then physically attack me without knowing the story of my earlier makeout. If two drunk married people want to make out on the beach it may be a bad decision, (It was a bad decision on my part) but it was our bad decision to make. While it is admirable that Quinn wanted to defend the honor of another woman and the sanctity of marriage, perhaps she should have done so using the resources of the conference, or at a minimum in a manner that didnÕt lead to her assaulting me. Quinn, who is a reporter, didnÕt report this story for years, and she didnÕt run the story in her capacity as a reporter, she chose social media with no bar for truth, and requirement that her story pass a fact check. Quinn who purports to be a champion against sexism was strangely silent. She sat on her allegations for more than 5 years. Her recall of the night seems unlikely due to her great detail including quotes, but without the names of any of the participants but myself. Most telling however is that she makes it clear that her assault of me was premeditated. She planned to separate me from the woman I was making out with, she planned to scare me, and she planned to use her martial arts training to injure me.
I am deeply apologetic that I have wronged my wife. I apologize to women in general that I could have been a better man and husband. Every act of infidelity, every time I have watched an adult video online, every time I have made an inappropriate joke, or laughed at one, I have wronged women.
I have tried to be a champion for all entrepreneurs equally. I believe I have given as much opportunity to women, and minorities as to other groups. I tend to gravitate towards cool tech and who has made that tech doesnÕt really matter to me. I havenÕt always had editorial control, many times others chose who I interviewed, or it was dictated by who was at a given conference, but I canÕt recall a time when I turned anyone down who had a worthy product, or made for an interesting conversation. If anything I have been criticized for often lending my audience to products that werenÕt innovative enough, or that because I didnÕt edit down the video the subject was not meaty enough. But whenever possible I shared my platform with anyone who wanted it with no regard for their background, skin color, orientation, or gender.
I have been trying to internalize that as someone who has been abused that I have behaviors that are part of my survival tactics and I work to change those behaviors. I am attempting to recover from my addictions, but with regard to the immediate allegations from the article the inaccuracies make it hard to be apologetic. Every one of these women have had hardships, and I donÕt envy any of their positions in life, but that doesnÕt justify their malice towards me, my wife, and family and friends who have supported me.
Others have sought to distance themselves from me, and I understand that. Shel Israel and I have worked on a great many projects together, and when he approached me to ask that we go our separate ways I decided I didnÕt want to work with anyone who wouldnÕt stand by me. I did not express that the allegations against me were ÒMostly TrueÓ and I did not express that I would be taking off the rest of the year. As I said at the start of this post, there are grains of truth, and I told Shel that the statements were true enough that I would need to address them. I also said that I would need to take time to address the allegations and that I didnÕt know if that meant a month or a year, I did not specify a time.
I did express to several people that until I knew how time consuming answering allegations might be, and if there were going to be any legal actions I might have to defend against that I would be occupied until at least the end of the month.
Many have been asking how I, and my family, are doing personally. My answer has been Òbetter than yesterdayÓ and while that is true, at least since these allegations came forth, truth is I am in a rebuilding process that will lead to much better relationships with everyone. I need time to deal with myself and the harm IÕve caused others, starting with the harm IÕve caused to my marriage, my sons, and to Maryam, in particular. After a period of time weÕll have more conversations about that, but Maryam and I are working through a bunch of very tough things and IÕm working hard on becoming a better human being.
As part of working on myself and repairing the relationships with my family, and unrelated to the recent events, I have been working to launch a new business, and a new career. Social Media has been my life for nearly 20 years, but it encourages a lifestyle that is not healthy for me or my family. I am transitioning into a job where I can work from home much more, and travel much less. This will give me more time to spend with my wife and kids. You can learn a bit about this here: http://lightpitch.launchrock.com/
I have avoided naming people who werenÕt named in the press so far, but there is an acknowledgment of appreciation I want to make. In the early stages of this hitting, Jessica Guynn of USAToday called for comment, and when I mentioned that I appreciated her doing a call to fact check things, unlike many other journalists who had already run stories, she said, ÒWell, these days thereÕs a low bar [for fact checking].Ó  
Part of my fascination with social media over the years has been in how it gives a voice to anyone who wants or needs it. The problem is that while it extends great power to those who use it responsibly, it also extends great power to those who want to use it to harm others.
As a tech journalist IÕve given the others a chance to speak and provided them a forum for their message. I have helped amplify the message of others when I felt it appropriate to do so, but I have been careful about promoting damning posts without checking their validity. TechCrunch and Business Insider failed in this regard. They set out to profit from the harm to me without regard for the truthiness of the story.
Another part of my love of social media has been that it creates dialog. I welcome dialog about the state of the industry, how we can make things better for people of all backgrounds, and how we can have responsible conversations in a world where a single tweet could result in nuclear war.
I have said many times in the past I have been working to be a better person, and overcome my addictions, and repair the relationship with my family. I am blessed to have a wife who has continued to love me through adversity, and kids who care so much about me. Many friends have supported me in this both before and after these most recent allegations. I thank them for their support. It means a great deal that so many have stood by me when it would be easier to distance themselves.",Resigned
Besh,John,10/21/17,Chief executive of the Besh Restaurant Group,Sexual harassment.,"Two years ago, I deeply hurt those I love by thoughtlessly engaging in a consensual relationship with one member of my team. Since then I have been seeking to rebuild my marriage and come to terms with my reckless actions given the profound love I have for my wife, my boys and my Catholic faith. I also regret any harm this may have caused to my second family at the restaurant group, and sincerely apologize to anyone past and present who has worked for me who found my behavior as unacceptable as I do. I alone am entirely responsible for my moral failings. This is not the way the head of a company like ours should have acted, let alone a husband and father. But it should not taint our incredible team of more than 1,000 employees, nor undermine our unyielding commitment to treating everyone with respect and dignity, regardless of gender, race, age and sexual preference.",Resigned.
Toback,James,10/22/17,Director and writer,Sexual harassment and misconduct toward women," Lemme be really clear about this. I don't want to get a pat on the back, but I've struggled seriously to make movies with very little money, that I write, that I direct, that mean my life to me. The idea that I would offer a part to anyone for any other reason than that he or she was gonna be the best of anyone I could find is so disgusting to me. And anyone who says it is a lying cocksucker or cunt or both. Can I be any clearer than that? Anyone who says that, I just want to spit in his or her fucking face. I'm sitting here with Sienna Miller. By the way, no one who's ever worked with me would ever say anything like that. No one. But I've just finished a movie with Sienna, which you should see, and help to get out there, called The Private Life of a Modern Woman. But here, she's sitting right here, so just say hello to her. No, seriously, I find it offensive and insulting and disgusting, that peopleÉ Because it's the opposite of the way I work. I don't give my best friends parts unless they deserve them. Ever. OK, that is a total lie. I never heard of the person before. And then who was the other one? First of all, that description wouldn't fit anyone, but I never heard that name before in my life. And believe me, I would remember it, because it's a very unusual name. You know, I mean, what happensÉ this is just too stupid. I mean, these are people I don't know, and it's things I never would have done. And it's just not worth talking about. It's idiotic. My question to you is, do you want to be a writer? Do you have any sense of yourself as a serious person? Because this stuff should be beneath anybody. No, they hear each other. And they gang up. There was an article years and years ago with a bunch of anonymous people. People read thingsÉ it's all, you know, me too, me too, me too, me too, me too. Anyway, it's too stupid to waste time on. It really is. It doesn't have anything to do with my life in any way. It never has. I work seriously with complete integrity. I never, never, never have offered a part to anyone who didn't deserve it, and I've never not delivered when I do offer a part. My word is better than a contract. Anything like that is nauseating and disgusting. And I would never say anything like 'I'll get you a film role.' It's too stupid to dignify. It's pathetic lies. It's just too fucking embarrassing and idiotic. And if I were you, I wouldn't go repeating it, unless you really knew it were true, because it isn't. So that's all I have to say. This is not worth wasting another second on.
",Dropped by agent.
Wieseltier,Leon,10/24/17,Former editor at The New Republic. ,"Sexual harassment, inappropriate advances.","For my offenses against some of my colleagues in the past I offer a shaken apology and ask for their forgiveness,Ó he wrote. ÒThe women with whom I worked are smart and good people. I am ashamed to know that I made any of them feel demeaned and disrespected. I assure them I will not waste this reckoning.",Fired.
Landesman,Knight,10/25/17,Publisher of Artforum.,"Sexual harassment of at least nine women, including groping.Ê","I fully recognize that I have tested certain boundaries, which I am working hard to correct. I have never willfully or intentionally harmed anyone. However, I am fully engaged in seeking help to insure that my behavior with both friends and colleagues is above reproach in the future.",Resigned.
Halperin,Mark,10/26/17,"NBC News, MSNBC contributor.",Sexual harassment of at least five women.,"I am profoundly sorry for the pain and anguish I have caused by my past actions. I apologize sincerely to the women I mistreated. The world is now publicly acknowledging what so many women have long known: Men harm women in the workplace. That new awareness is, of course, a positive development. For a long time at ABC News, I was part of the problem. I acknowledge that, and I deeply regret it. As I said earlier in the week, my behavior was wrong. It caused fear and anxiety for women who were only seeking to do their jobs. In recent days I have closely read the accounts of women with whom I worked at ABC News. I have not read these accounts looking for discrepancies or inconsistencies. Instead, in almost every case, I have recognized conduct for which I feel profound guilt and responsibility, some involving junior ABC News personnel and women just starting out in the news business. Many of the accounts conveyed by journalists working on stories about me or that I have read after publication have not been particularly detailed (and many were anonymous) making it difficult for me to address certain specifics. But make no mistake: I fully acknowledge and apologize for conduct that was often aggressive and crude. Towards the end of my time at ABC News, I recognized I had a problem. No one had sued me, no one had filed a human resources complaint against me, no colleague had confronted me. But I didnÕt need a call from HR to know that I was a selfish, immature person, who was behaving in a manner that had to stop. For several years around my departure from ABC News, I had weekly counseling sessions to work on understanding the personal issues and attitudes that caused me to behave in such an inappropriate manner. Those who have worked with me in the past decade know that my conduct in subsequent jobs at TIME, Bloomberg, NBC News, and Showtime has not been what it was at ABC. i did not engage in improper behavior with colleagues or subordinates. If you spoke to my co-workers in those four places (men and women alike), I am confident you would find that I had a very different reputation than I had at ABC News because I had conducted myself in a very different manner. Some of the allegations that have been made against me are not true. But I realize that is a small point in the scheme of things. Again, I bear responsibility for my outrageous conduct at ABC News. I hope that not only will women going forward be more confident in speaking up, but also that we as an industry and society can create an atmosphere that no longer tolerates this kind of behavior. I know I can never do enough to make up for the harm I caused. I will be spending time with my family and friends, as I work to make amends and contributions both large and small. ",Dismissed.
Baker,Ken,10/26/17,E! News correspondent.,"Sexual harassment of two women, including unwanted kissing and inappropriate messages.","I am very disturbed by these anonymous allegations, which make my heart ache. I take them very seriously. I care deeply for peopleÕs feelings and sincerely live in a way that treats people with dignity and respect.",Pulled from air while NBCUniversal investigates
Spacey,Kevin,29-Oct,Actor,Sexual assault of multipile men and a sexual misconduct with a minor.,"I have a lot of respect and admiration for Anthony Rapp as an actor. I'm beyond horrified to hear his story. I honestly do not remember the encounter, it would have been over 30 years ago. But if I did behave as he describes, I owe him the sincerest apology for what would have been deeply inappropriate drunken behavior, and I am sorry for the feelings he describes having carried with him all these years. This story has encouraged me to address other things about my life. I know that there are stories out there about me and that some have been fuelled by the fact that I have been so protective of my privacy. As those closest to me know, in my life I have had relationships with both men and women. I have loved and had romantic encounters with men throughout my life, and I choose now to live as a gay man. I want to deal with this honestly and openly and that starts with examining my own behavior.ÊThis story has encouraged me to address other things about my life. I know that there are stories out there about me and that some have been fuelled by the fact that I have been so protective of my privacy. As those closest to me know, in my life I have had relationships with both men and women. I have loved and had romantic encounters with men throughout my life, and I choose now to live as a gay man. I want to deal with this honestly and openly and that starts with examining my own behavior.Ê","Suspended from ""House of Cards"" and cut from other projects."
